"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 21 02:16:27 GMT+07:00 2022","Tue Jun 21 02:16:31 GMT+07:00 2022","4347","test","test_add_group","","","","test_add_group[None :  :  : ]",""
"passed","Tue Jun 21 02:16:13 GMT+07:00 2022","Tue Jun 21 02:16:26 GMT+07:00 2022","13122","test","test_add_contact","","","","test_add_contact[None ; firstnamehd1c ; lastname ; addressfrDShNrkmH ; home_telephonefxbS ; mobile_telephoneZrE ; work_telephoneXDJN3ytpNwitp9 ;  ; emailAXNfxo9tsA6 ; email2@ ; email3PHMLhWNpde6HP6]",""
"passed","Tue Jun 21 02:16:00 GMT+07:00 2022","Tue Jun 21 02:16:13 GMT+07:00 2022","12823","test","test_add_contact","","","","test_add_contact[None ; firstname95U7 ; lastnameMeX8Xsn ; address2ULABFnGJHJFw0El ; home_telephoneA ; mobile_telephonePfloZfi ; work_telephone67MIO1eCAKOL4CQ7nN3 ;  ; emailiiMMazkahHK0iSyWF ; email2 ; email3cRC6WuMEvtBXk]",""
"passed","Tue Jun 21 02:17:51 GMT+07:00 2022","Tue Jun 21 02:17:52 GMT+07:00 2022","1443","test","test_random_contact","","","","test_contact_info_on_home_page",""
"passed","Tue Jun 21 02:16:40 GMT+07:00 2022","Tue Jun 21 02:16:45 GMT+07:00 2022","4319","test","test_add_group","","","","test_add_group[None : namenUPsU : headerI   jfklL : footer1 Gcs RE4s NsvD0XUD]",""
"passed","Tue Jun 21 02:17:44 GMT+07:00 2022","Tue Jun 21 02:17:48 GMT+07:00 2022","3892","test","test_modify_group","","","","test_modify_group_footer",""
"passed","Tue Jun 21 02:17:11 GMT+07:00 2022","Tue Jun 21 02:17:12 GMT+07:00 2022","1337","test","test_del_group","","","","test_delete_some_group",""
"passed","Tue Jun 21 02:17:08 GMT+07:00 2022","Tue Jun 21 02:17:11 GMT+07:00 2022","2729","test","test_del_contact","","","","test_delete_some_contact",""
"passed","Tue Jun 21 02:16:53 GMT+07:00 2022","Tue Jun 21 02:16:56 GMT+07:00 2022","2575","test","test_all_contacts","","","","test_matches_contacts_on_db_and_homepage",""
"passed","Tue Jun 21 02:17:12 GMT+07:00 2022","Tue Jun 21 02:17:19 GMT+07:00 2022","7009","test","test_modify_contact","","","","test_modify_contact_fullname",""
"passed","Tue Jun 21 02:17:31 GMT+07:00 2022","Tue Jun 21 02:17:35 GMT+07:00 2022","4175","test","test_modify_group","","","","test_modify_group_name_db",""
"passed","Tue Jun 21 02:17:35 GMT+07:00 2022","Tue Jun 21 02:17:40 GMT+07:00 2022","5282","test","test_modify_group","","","","test_modify_group_name_ui",""
"passed","Tue Jun 21 02:16:36 GMT+07:00 2022","Tue Jun 21 02:16:40 GMT+07:00 2022","4630","test","test_add_group","","","","test_add_group[None : name : header4oZFpstXbc49pJ9dzn9 : footerSIT4PhD9C9uWF]",""
"passed","Tue Jun 21 02:16:45 GMT+07:00 2022","Tue Jun 21 02:16:49 GMT+07:00 2022","4259","test","test_add_group","","","","test_add_group[None : name  : header3 E Yuu7 : footerYU]",""
"passed","Tue Jun 21 02:17:27 GMT+07:00 2022","Tue Jun 21 02:17:30 GMT+07:00 2022","3844","test","test_modify_contact","","","","test_modify_contact_company_ui",""
"passed","Tue Jun 21 02:16:31 GMT+07:00 2022","Tue Jun 21 02:16:36 GMT+07:00 2022","4330","test","test_add_group","","","","test_add_group[None : namemJ : headerOCgwS 2RycjAL  : footer]",""
"passed","Tue Jun 21 02:15:07 GMT+07:00 2022","Tue Jun 21 02:15:20 GMT+07:00 2022","13404","test","test_add_contact","","","","test_add_contact[None ;  ;  ;  ;  ;  ;  ;  ;  ;  ; ]",""
"passed","Tue Jun 21 02:17:20 GMT+07:00 2022","Tue Jun 21 02:17:26 GMT+07:00 2022","6273","test","test_modify_contact","","","","test_modify_contact_fullname_ui",""
"passed","Tue Jun 21 02:16:49 GMT+07:00 2022","Tue Jun 21 02:16:53 GMT+07:00 2022","4255","test","test_add_group","","","","test_add_group[None : name hzwt  : headergG 4kE qiWPwPE : footerqHo x]",""
"passed","Tue Jun 21 02:16:56 GMT+07:00 2022","Tue Jun 21 02:16:59 GMT+07:00 2022","2763","test","test_contacts_in_groups","","","","test_add_contact_to_group",""
"passed","Tue Jun 21 02:17:48 GMT+07:00 2022","Tue Jun 21 02:17:51 GMT+07:00 2022","3232","test","test_phones","","","","test_phones_on_home_page",""
"passed","Tue Jun 21 02:15:34 GMT+07:00 2022","Tue Jun 21 02:15:46 GMT+07:00 2022","12725","test","test_add_contact","","","","test_add_contact[None ; firstnameGHwszQ ; lastnameG7Zx7U2 ; address0JE ; home_telephonePwX ; mobile_telephoneo56iebXdZ9YDHJb ; work_telephoneJma5qOpv ;  ; emailbrVxp@Hf1OA ; email28 ; email3IspbF9YTEQPRC]",""
"passed","Tue Jun 21 02:17:40 GMT+07:00 2022","Tue Jun 21 02:17:44 GMT+07:00 2022","3432","test","test_modify_group","","","","test_modify_group_header",""
"passed","Tue Jun 21 02:15:20 GMT+07:00 2022","Tue Jun 21 02:15:33 GMT+07:00 2022","12709","test","test_add_contact","","","","test_add_contact[None ; firstnameA ; lastnameEz ; addressI3IFmgqcxGB1l0FjK6H ; home_telephoneZRdBNI5 ; mobile_telephoneOmfBFe17dA5fdWjN5 ; work_telephone1uwzO8YF ;  ; emailBKyrf7ApE8Z@ ; email2Gcwi6ROWWAWU7 ; email3]",""
"passed","Tue Jun 21 02:17:05 GMT+07:00 2022","Tue Jun 21 02:17:08 GMT+07:00 2022","3063","test","test_db_matches_ui","","","","test_group_list",""
"passed","Tue Jun 21 02:15:47 GMT+07:00 2022","Tue Jun 21 02:16:00 GMT+07:00 2022","12778","test","test_add_contact","","","","test_add_contact[None ; firstnameU ; lastnamewJ ; addressgCBM86qxr3K2y3AEB ; home_telephoneG2bQLX ; mobile_telephoneoRyN5SGVrAqVFEqeh ; work_telephoneNhmrBBWU ;  ; emailecXWcU ; email25XJ ; email3I6jDDv7@itJoIiz@4]",""
"passed","Tue Jun 21 02:16:59 GMT+07:00 2022","Tue Jun 21 02:17:05 GMT+07:00 2022","5280","test","test_contacts_in_groups","","","","test_del_contact_from_group",""
